mes,share_dev,share_vig,pub_dev
1,0.0,0.001102,0.5
2,1e-06,,3.0
3,0.0,-1e-06,0.5
4,0.0,0.0,0.0
5,1e-06,-0.009912,4.9
6,1e-06,1e-06,5.0
7,3e-06,-0.000372,21.6
8,3e-06,-333811730192793.6,33.5
9,1.3e-05,-0.00292,105.7
10,4.4e-05,-0.012521,333.8
11,7.1e-05,-0.003305,637.3
12,0.000158,,1814.5
