mes,share_dev,share_vig,pub_dev
1,0.0004,0.000621,565.2
2,0.000526,0.058533,1060.1
3,0.001035,0.000101,2550.5
4,0.000872,,1797.7
5,0.001784,-1.3e-05,4508.2
6,0.001619,0.766853,5909.1
7,0.0013,0.027247,3688.7
8,0.001164,-1e-05,3860.3
9,0.001515,0.0,5612.4
10,0.001332,-1e-06,4788.6
11,0.000846,6.2e-05,3483.9
12,0.000241,7.1e-05,1524.4
