periodo,tasa_vacancia,tasa_titular,tasa_subrogancia,tasa_concurso_vacantes,stale_meses
2023-01,0.2832,0.7027,0.1591,0.9408,17
2023-02,0.2832,0.7027,0.1591,0.9408,18
2023-03,0.2832,0.7027,0.1591,0.9408,19
2023-04,0.2832,0.7027,0.1591,0.9408,20
2023-05,0.2832,0.7027,0.1591,0.9408,21
2023-06,0.2832,0.7027,0.1591,0.9408,22
2023-07,0.2832,0.7027,0.1591,0.9408,23
2023-08,0.2832,0.7027,0.1591,0.9408,24
2023-09,0.2832,0.7027,0.1591,0.9408,25
2023-10,0.2832,0.7027,0.1591,0.9408,26
2023-11,0.2832,0.7027,0.1591,0.9408,27
2023-12,0.2832,0.7027,0.1591,0.9408,28
2024-01,0.2832,0.7027,0.1591,0.9408,29
2024-02,0.2832,0.7027,0.1591,0.9408,30
2024-03,0.2832,0.7027,0.1591,0.9408,31
2024-04,0.3076,0.6781,0.274,0.9579,0
2024-05,0.3076,0.6781,0.274,0.9579,1
2024-06,0.3076,0.6781,0.274,0.9579,2
2024-07,0.3076,0.6781,0.274,0.9579,3
2024-08,0.3076,0.6781,0.274,0.9579,4
2024-09,0.3076,0.6781,0.274,0.9579,5
2024-10,0.3076,0.6781,0.274,0.9579,6
2024-11,0.3076,0.6781,0.274,0.9579,7
2024-12,0.3076,0.6781,0.274,0.9579,8
2025-01,0.3076,0.6781,0.274,0.9579,9
2025-02,0.3076,0.6781,0.274,0.9579,10
2025-03,0.3076,0.6781,0.274,0.9579,11
2025-04,0.3076,0.6781,0.274,0.9579,12
2025-05,0.3076,0.6781,0.274,0.9579,13
2025-06,0.3076,0.6781,0.274,0.9579,14
2025-07,0.3076,0.6781,0.274,0.9579,15
2025-08,0.3076,0.6781,0.274,0.9579,16
2025-09,0.3076,0.6781,0.274,0.9579,17
2025-10,0.3076,0.6781,0.274,0.9579,18
2025-11,0.3076,0.6781,0.274,0.9579,19
2025-12,0.3076,0.6781,0.274,0.9579,20
2026-01,0.3076,0.6781,0.274,0.9579,21
2026-02,0.3076,0.6781,0.274,0.9579,22
2026-03,0.3076,0.6781,0.274,0.9579,23
2026-04,0.3076,0.6781,0.274,0.9579,24
2026-05,0.3076,0.6781,0.274,0.9579,25
2026-06,0.3613,0.6325,0.2953,1.0,0
