fecha_deteccion,fecha_publicacion,evento,valida_constitucional,acuerdo_senado,persona,titulo,url
2026-06-26,2023-12-12,renuncia,,,,BANCO CENTRAL DE LA REPÚBLICA ARGENTINA Decreto 18/2023 DECTO-2023-18-APN-PTE - Acéptanse renuncias.,https://www.boletinoficial.gob.ar/detalleAviso/primera/300746/20231212
2026-06-26,2023-12-12,designacion_en_comision,no,en comisión (sin acuerdo del Senado),,BANCO CENTRAL DE LA REPÚBLICA ARGENTINA Decreto 19/2023 DECTO-2023-19-APN-PTE - Desígnase Presidente en comisión.,https://www.boletinoficial.gob.ar/detalleAviso/primera/300747/20231212
